"Player Name", "World", "Combat Level", "Time In MS",
jekkujaba,513,117,1565652743964,
Coldglory34,389,77,1565654231707,
MaxMayne,445,81,1565654462187,
KamperRomano,387,119,1565655763447,
Swaggerlame,388,74,1565656765127,
SHHAARRK,389,126,1565661139478,
Savesteel681,329,105,1565661841967,
Mercenary_AL,368,98,1565665677832,
Savesteel681,388,105,1565666342320,
Gotaskill,350,104,1565666764651,
Ch-Mayday,464,114,1565799538136,
chadthenurse,340,102,1565799559371,
killtoborn,310,87,1565799584511,
arcangelm30,518,100,1565799591587,
Emoshape,518,122,1565799591746,
Remedial,340,109,1565799881146,
tarbzz,495,123,1565820512260,
Laur1sLT,346,87,1565824621164,
SURGEKO,320,75,1565824628065,
basjeje,313,101,1565825042941,
mikeman824,308,66,1565828895103,
Du-MACH1NE02,302,105,1565830872576,
osrs2673,320,27,1565830880854,
FisForFarm,351,103,1565831252271,
k3nnyhighes,521,39,1565832373313,
babysuckme,302,19,1565832380126,
MansBeDuckin,321,80,1565833818468,
GR0G_B0G,387,112,1565842891799,
Firehazerd,324,115,1565888008200,
Avirath,310,123,1565891160485,
Ankitrops,342,53,1565893238493,
calambre-69,496,104,1565893328378,
Shwiggitty99,323,77,1565895575840,
drcer,331,110,1565895630197,
Tucali,304,49,1565896713986,
MasterJuss,390,82,1565896931571,
Shwiggitty99,309,77,1565898730694,
Failedpure96,309,71,1565906173889,
shiroxx,492,50,1565907708973,
VALINTATALO,520,124,1565907921898,
shiroxx,496,50,1565908043161,
WeeLittleLad,355,56,1566266115252,
Here2Homble,305,88,1566267443406,
Jbob72,424,94,1566267726497,
StreetlampOG,317,67,1566267866053,
xPePexMX,338,98,1566270449631,
Free Mils,376,106,1566271480911,
Saweed,302,70,1566272170552,
torndog,354,96,1566272189073,
Lord Jan 88,465,98,1566272626403,
T h e Jeckle,306,124,1566275691087,
T h e Jeckle,357,124,1566275804809,
Inf Ryan,334,117,1566277271888,
SatanicBBull,328,88,1566277500668,
Pure Sooba,370,73,1566278515949,
Pure Sooba,446,73,1566278758966,
DrDoomsDaye,367,102,1566279686816,
Mint35,519,67,1566279710735,
DrDoomsDaye,522,102,1566280553688,
MitOlland1,344,102,1566299451045,
Godofworms95,516,94,1566300456622,
King Is Back,421,86,1566302225753,
Godofworms95,388,94,1566302252027,
Godofworms95,422,94,1566302323107,
Godofworms95,493,94,1566302446948,
Godofworms95,341,94,1566302839214,
Godofworms95,515,94,1566303514208,
kuko sanchez,465,68,1566307135031,
lamena309,522,61,1566307172821,
94lovelyrob,494,8,1566307221078,
MisterPelled,424,23,1566308509971,
EliteAdvent,305,50,1566308583111,
Blastdig1366,329,65,1566308695878,
PigeonPowers,340,116,1566309021863,
jjmbjj3,313,19,1566309184901,
londres33,368,18,1566309310486,
18toktz2933,370,20,1566309416569,
KnockKnockTR,368,103,1566309432198,
XxStactyxX,369,7,1566309984779,
Luc UIM,310,8,1566309991974,
Finish698,465,112,1566310006715,
sr_satanic,351,112,1566310671673,
Mufasa 00,333,101,1566310880806,
Olly 3,334,83,1566313380410,
DoFangle,310,91,1566315040736,
Dragon  Axe,524,91,1566315560274,
G U Z Y,494,89,1566316620345,
werbrevived,305,101,1566317238716,
Akke,395,126,1566317302266,
DoFangle,344,91,1566317533421,
Thefather_11,359,77,1566317790811,
S treetlamp,495,109,1566320143670,
Ninjury,321,110,1566320378876,
Thefoursaken,493,77,1566320497636,
Ninjury,331,110,1566321045310,
thc torva,378,96,1566321495102,
Hoopasa,389,74,1566323024416,
Ninjawyte,303,93,1566323453804,
Remedial,445,110,1566324368831,
Ragutiz wp,327,94,1566324894878,
i am window,520,52,1566324900946,
Gripzip,343,118,1566324955620,
ShrimpBurn3r,315,100,1566325229968,
ShrimpBurn3r,318,100,1566326034953,
Elegant FE,378,56,1566326043378,
azt_inferno,323,93,1566326444968,
Nisseh Beh,309,88,1566326710212,
IIllIlIlIlIl,520,82,1566326822122,
IIllIlIlIlIl,515,82,1566326891068,
Riddimboofer,347,78,1566328130774,
Ryuketsu,494,89,1566328208886,
Englin,331,90,1566328424145,
s420,376,121,1566328431558,
Tucali,339,63,1566328642300,
Varsity RS,307,124,1566329364821,
ShrimpBurn3r,520,100,1566329704348,
Chipmingo,377,110,1566330843297,
MasterJuss,336,82,1566331279451,
I likedrugz,321,108,1566331385564,
rangeegawd,493,59,1566332057693,
rangeegawd,519,59,1566332132394,
9LotusFlower,518,80,1566333288211,
carlyvrl,330,53,1566334755537,
dutchpk070,395,93,1566334917238,
Balerzpuked,523,32,1566335903118,
The Neandpxd,370,49,1566336012538,
RedBurn,304,123,1566336033353,
Sil3nc399,355,86,1566350510617,
BABYvCODEINE,315,60,1566351403647,
lord psyduk,348,116,1566352158762,
HairyToes218,322,122,1566352165202,
jAlliey,492,15,1566352400104,
Mauapo7,524,84,1566352407347,
ShrimpBurn3r,324,100,1566353200826,
ShrimpBurn3r,388,100,1566353417484,
neofito22,387,93,1566353594478,
Kokis Zero,342,122,1566353932799,
Kokis Zero,330,122,1566354013890,
ShrimpBurn3r,518,100,1566354336026,
3Nairag,445,27,1566355751950,
ShrimpBurn3r,445,100,1566355751970,
Reedis96,346,86,1566427355368,
p 0 o p 0 o,331,76,1566427537004,
Firehazerd,323,115,1566427613121,
AeroOnFire,466,87,1566427664873,
DAWNBRlNGER,314,123,1566428090812,
RIP U DIED,340,86,1566430123968,
Meet God,495,81,1566430413360,
magic_zortak,350,79,1566431042712,
KingShalin76,388,78,1566431810203,
Firehazerd,388,115,1566432938123,
Firehazerd,390,115,1566433019318,
Drops 4 life,338,124,1566433104861,
0f Counsel,352,67,1566434366024,
Zo,315,124,1566435909029,
RIP U DIED,343,86,1566436309053,
roiverjrb,495,74,1566436465756,
basjeje,496,101,1566491522453,
basjeje,446,101,1566492546122,
Easy RIP,518,66,1566493474758,
RGL Kessu89,339,96,1566507979052,
Iron Bev,309,75,1566507987422,
